src_form,tgt_form,tgt_lang,meaning,sem_field,sem_cat,ID,Target_Form_ID,Target_Form_Row_ID,Target_WOLD_ID,Target_Language_ID_CLDF,Target_Glottocode,Source_Language,Source_Glottocode,Parameter_ID,Concepticon_ID,Concepticon_Gloss,Target_Borrowed,Target_Borrowed_Score,Borrowing_Comment,Borrowing_Source,label_loan,neg_type,pair_source,src_form_norm,tgt_form_norm,row_uid
mírh,tʃjyrjekh,White Hmong,the victory,Warfare and hunting,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mírh,tʃjyrjekh,noncognate_external_0000887
Termite,termita,Lower Sorbian,the termites,Animals,Noun,18302.0,LowerSorbian-3-834-1,27857.0,10.0,10.0,lowe1385,New High German,stan1295,3-834,883.0,TERMITE,1. clearly borrowed,1.0,,,1,positive,wold_positive,Termite,termita,pos_0017395
ɨɾᴀːx,ᵻra:x,Selice Romani,to push,Motion,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ɨɾᴀːx,ᵻra:x,cognate_external_0008551
mək,múkátai,Hausa,the tap/faucet,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,mək,múkátai,cognate_external_0005408
arroz,arrusa,Imbabura Quechua,the rice,Agriculture and vegetation,Noun,16487.0,ImbaburaQuechua-8-48-1,15649.0,37.0,37.0,imba1240,Spanish,stan1288,8-48,926.0,RICE,1. clearly borrowed,1.0,,,1,positive,wold_positive,arroz,arrusa,pos_0015688
Medizin,medicina,Lower Sorbian,the medicine,The body,Noun,18104.0,LowerSorbian-4-88-1,28058.0,10.0,10.0,lowe1385,New High German,stan1295,4-88,1372.0,MEDICINE,1. clearly borrowed,1.0,,,1,positive,wold_positive,Medizin,medicina,pos_0017204
túksu,nəmpv,Takia,the mirror,Clothing and grooming,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,túksu,nəmpv,noncognate_external_0010042
susog,šušoginen,Selice Romani,to whisper,Speech and language,Verb,928.0,SeliceRomani-18-15-1,49217.0,9.0,9.0,west2376,Hungarian,hung1274,18-15,55.0,WHISPER,1. clearly borrowed,1.0,,,1,positive,wold_positive,susog,šušoginen,pos_0000915
kelki (Literary Mongolian),kelgiy,Sakha,to tie,Basic actions and technology,Verb,17274.0,Sakha-9-16-2,45641.0,19.0,19.0,yaku1245,Mongolic,,9-16,1917.0,TIE,1. clearly borrowed,1.0,,,1,positive,wold_positive,kelki (Literary Mongolian),kelgiy,pos_0016442
"jürak,",ʨyrɛ́k,Swahili,to refuse,Speech and language,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,"jürak,",ʨyrɛ́k,cognate_external_0007019
manada,manara,Yaqui,the herd,Animals,Noun,6905.0,Yaqui-3-99917-1,62854.0,32.0,32.0,yaqu1251,Spanish,stan1288,3-99917,,,1. clearly borrowed,1.0,,,1,positive,wold_positive,manada,manara,pos_0006592
krug,krug,Ket,the circle,Spatial relations,Noun,9400.0,Ket-12-82-1,25636.0,18.0,18.0,kett1243,Russian,russ1263,12-82,1467.0,CIRCLE,1. clearly borrowed,1.0,,,1,positive,wold_positive,krug,krug,pos_0008992
djөrәk,jurjak,Takia,the screwdriver,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,djөrәk,jurjak,cognate_external_0007846
zawod,zawod,Lower Sorbian,the workshop,Modern world,Noun,18424.0,LowerSorbian-23-58-4,29250.0,10.0,10.0,lowe1385,Upper Sorbian,uppe1395,23-58,1677.0,WORKSHOP,1. clearly borrowed,1.0,,,1,positive,wold_positive,zawod,zawod,pos_0017514
dʒyrøk,ǯola,Romanian,the sap,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,dʒyrøk,ǯola,noncognate_external_0008842
xorɨ,tuge,Lower Sorbian,the medicine,The body,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,xorɨ,tuge,noncognate_external_0006739
jürɐk,ʨyrɛ́k,Takia,the (woman's) dress,Clothing and grooming,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jürɐk,ʨyrɛ́k,cognate_external_0007021
böke,mogaji,Romanian,poor,Possession,Adjective,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,böke,mogaji,cognate_external_0005399
dubb,ddubb,Tarifiyt Berber,the bear,Animals,Noun,5239.0,TarifiytBerber-3-73-1,1515.0,6.0,6.0,tari1263,Standard Arabic,stan1318,3-73,1820.0,BEAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,dubb,ddubb,pos_0004988
čiabu,músúmp,Selice Romani,the music,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,čiabu,músúmp,noncognate_external_0002190
gúnkìi,gúnkì,Kanuri,the idol,Religion and belief,Noun,17997.0,Kanuri-22-37-1,24697.0,5.0,5.0,cent2050,Hausa,haus1257,22-37,1945.0,IDOL,1. clearly borrowed,1.0,,,1,positive,wold_positive,gúnkìi,gúnkì,pos_0017104
cucaracha,kuka,Yaqui,the cockroach,Animals,Noun,6901.0,Yaqui-3-816-1,62924.0,32.0,32.0,yaqu1251,Spanish,stan1288,3-816,1575.0,COCKROACH,1. clearly borrowed,1.0,,,1,positive,wold_positive,cucaracha,kuka,pos_0006588
tuɛ,sirds,Imbabura Quechua,the grandfather,Kinship,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tuɛ,sirds,noncognate_external_0002833
múkátai,xorɨ,Swahili,the sibling,Kinship,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,múkátai,xorɨ,noncognate_external_0001558
узакъ,muru,Kanuri,holy,Religion and belief,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,узакъ,muru,noncognate_external_0009024
harina,harina,Zinacantán Tzotzil,the flour,Food and drink,Noun,6191.0,ZinacantanTzotzil-5-55-1,57385.0,33.0,33.0,tzot1259,Spanish,stan1288,5-55,1594.0,FLOUR,1. clearly borrowed,1.0,,,1,positive,wold_positive,harina,harina,pos_0005880
zhànzhēng,sensō,Japanese,the war or battle,Warfare and hunting,Noun,2165.0,Japanese-20-13-1,21587.0,21.0,21.0,nucl1643,Chinese,mand1415,20-13,579.0,BATTLE,1. clearly borrowed,1.0,,,1,positive,wold_positive,zhànzhēng,sensō,pos_0002113
akšana,τρεῖς,Gawwada,the arm,The body,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,akšana,τρεῖς,noncognate_external_0010200
akšə̑·lgə̑ftə̑ms,akšəlgədəms,Japanese,the mind,Cognition,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšə̑·lgə̑ftə̑ms,akšəlgədəms,cognate_external_0004596
kCntray,kantray,Thai,the scissors or shears,Basic actions and technology,Noun,20530.0,Thai-9-24-3,55733.0,23.0,23.0,thai1261,Khmer,cent1989,9-24,356.0,SHEARS,1. clearly borrowed,1.0,,,1,positive,wold_positive,kCntray,kantray,pos_0019530
song-sai,xoom xaim,White Hmong,the doubt,Cognition,Noun,7657.0,WhiteHmong-17-43-1,61033.0,25.0,25.0,hmon1333,Lao,laoo1244,17-43,1308.0,DOUBT,1. clearly borrowed,1.0,,,1,positive,wold_positive,song-sai,xoom xaim,pos_0007276
oʃ,häčvä,Indonesian,the shield,Warfare and hunting,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,oʃ,häčvä,noncognate_external_0010268
akšəlgədəms,óša,Kildin Saami,the peace,Warfare and hunting,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšəlgədəms,óša,cognate_external_0004911
jaadu,dzadu,Manange,the magic,Religion and belief,Noun,91.0,Manange-22-42-1,32042.0,17.0,17.0,mana1288,Nepali,nepa1252,22-42,392.0,MAGIC,1. clearly borrowed,1.0,,,1,positive,wold_positive,jaadu,dzadu,pos_0000090
mostoha,moštóno,Selice Romani,step-,Kinship,Adjective,1141.0,SeliceRomani-2-99902-1,47943.0,9.0,9.0,west2376,Hungarian,hung1274,2-99902,,,1. clearly borrowed,1.0,,,1,positive,wold_positive,mostoha,moštóno,pos_0001126
tʃjyrekh,djөrәk,Ket,the lunch,Food and drink,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,tʃjyrekh,djөrәk,cognate_external_0001442
ɯrɑqh,àp,Sakha,the husband,Kinship,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ɯrɑqh,àp,noncognate_external_0009799
harpon,alopon,Kali'na,the harpoon,Basic actions and technology,Noun,2939.0,Kalina-9-99911-1,22510.0,38.0,38.0,gali1262,French,stan1290,9-99911,,,1. clearly borrowed,1.0,,,1,positive,wold_positive,harpon,alopon,pos_0002852
djөrәk,dschurak,Saramaccan,the rainbow,The physical world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,djөrәk,dschurak,cognate_external_0007762
ioрю̂къ,hjerte,Romanian,to shriek,Speech and language,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ioрю̂къ,hjerte,cognate_external_0002678
ʐʏrjek,mək,Swahili,the soup,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ʐʏrjek,mək,noncognate_external_0006519
йөрәк,kɔtu,Sakha,the bowl,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,йөрәк,kɔtu,noncognate_external_0007102
rašaqa,ā'šəg,Tarifiyt Berber,to hang up,Basic actions and technology,Verb,13628.0,TarifiytBerber-9-341-1,2095.0,6.0,6.0,tari1263,Classical Arabic,,9-341,357.0,HANG UP,1. clearly borrowed,1.0,,,1,positive,wold_positive,rašaqa,ā'šəg,pos_0013038
de dia,didía,Saramaccan,the day(1),Time,Noun,4906.0,Saramaccan-14-41-1,47434.0,36.0,36.0,sara1340,Suriname Portuguese,,14-41,1260.0,DAY (24 HOURS),1. clearly borrowed,1.0,,,1,positive,wold_positive,de dia,didía,pos_0004731
ioрякъ,jerәk,Lower Sorbian,the bank,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ioрякъ,jerәk,cognate_external_0002542
bruder,jeraq,Seychelles Creole,the mouse or rat,Animals,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,bruder,jeraq,noncognate_external_0002852
širdis,mū,Lower Sorbian,the citizen,Social and political relations,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,širdis,mū,noncognate_external_0000010
ašińe,akšana,Tarifiyt Berber,the cause,Cognition,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ašińe,akšana,cognate_external_0004155
dengan,ŋɛ̃n,Ceq Wong,with,Miscellaneous function words,Function word,9323.0,CeqWong-24-04-1,5363.0,26.0,26.0,chew1245,Malay,stan1306,24-04,1340.0,WITH,1. clearly borrowed,1.0,,,1,positive,wold_positive,dengan,ŋɛ̃n,pos_0008916
ngrintih,merintih,Indonesian,to groan,Emotions and values,Verb,9647.0,Indonesian-16-39-1,17916.0,27.0,27.0,indo1316,Javanese,java1254,16-39,716.0,GROAN,2. probably borrowed,0.75,,,1,positive,wold_positive,ngrintih,merintih,pos_0009228
āpassūm,opossamu,Japanese,the opossum,Animals,Noun,13146.0,Japanese-3-622-2,19969.0,21.0,21.0,nucl1643,Algonquian (Powhatan),,3-622,309.0,OPOSSUM,1. clearly borrowed,1.0,,,1,positive,wold_positive,āpassūm,opossamu,pos_0012595
чирѐ,ioрю̂къ,Indonesian,the grain,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,чирѐ,ioрю̂къ,cognate_external_0000764
mismo,mismo,Zinacantán Tzotzil,same,Miscellaneous function words,Function word,6377.0,ZinacantanTzotzil-24-13-1,58278.0,33.0,33.0,tzot1259,Spanish,stan1288,24-13,200.0,SAME,1. clearly borrowed,1.0,,,1,positive,wold_positive,mismo,mismo,pos_0006066
kəmu,mə̄i,English,they,Kinship,Function word,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,kəmu,mə̄i,noncognate_external_0010103
ada,pie,Imbabura Quechua,the mortiño,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ada,pie,noncognate_external_0001814
šərrəħ,šarrəħ,Tarifiyt Berber,to explain,Cognition,Verb,6066.0,TarifiytBerber-17-38-2,2650.0,6.0,6.0,tari1263,Arabic (Moroccan),moro1292,17-38,1626.0,EXPLAIN,1. clearly borrowed,1.0,,,1,positive,wold_positive,šərrəħ,šarrəħ,pos_0005760
batri,patri,Gawwada,the lamp or torch,The house,Noun,16158.0,Gawwada-7-45-1,8978.0,3.0,3.0,gaww1239,Amharic,amha1245,7-45,2131.0,TORCH OR LAMP,1. clearly borrowed,1.0,,,1,positive,wold_positive,batri,patri,pos_0015366
sid-i,siđi,Tarifiyt Berber,the master,Social and political relations,Noun,5714.0,TarifiytBerber-19-41-1,2746.0,6.0,6.0,tari1263,Arabic (Moroccan),moro1292,19-41,383.0,MASTER,1. clearly borrowed,1.0,,,1,positive,wold_positive,sid-i,siđi,pos_0005437
tу́häшим,hà,Archi,the furrow,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tу́häшим,hà,noncognate_external_0009902
о́ша,häčvä,Indonesian,to call(2),Speech and language,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,о́ша,häčvä,noncognate_external_0009464
tokje,tügele,Saramaccan,the body hair,The body,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,tokje,tügele,cognate_external_0005483
divorcio,dibursyu,Imbabura Quechua,the divorce,Kinship,Noun,16309.0,ImbaburaQuechua-2-341-1,15136.0,37.0,37.0,imba1240,Spanish,stan1288,2-341,1134.0,DIVORCE,1. clearly borrowed,1.0,,,1,positive,wold_positive,divorcio,dibursyu,pos_0015513
kovior,covor,Romanian,the rug,Basic actions and technology,Noun,15348.0,Romanian-9-771-1,43820.0,8.0,8.0,roma1327,Russian,russ1263,9-771,292.0,RUG,1. clearly borrowed,1.0,,,1,positive,wold_positive,kovior,covor,pos_0014687
bill,bili,Swahili,the bill,Possession,Noun,8248.0,Swahili-11-66-1,52698.0,1.0,1.0,swah1253,English,stan1293,11-66,1081.0,BILL,1. clearly borrowed,1.0,,,1,positive,wold_positive,bill,bili,pos_0007864
*s-(r)-muuc,ntsaum,White Hmong,the ant,Animals,Noun,14172.0,WhiteHmong-3-817-1,60043.0,25.0,25.0,hmon1333,Mon-Khmer,,3-817,587.0,ANT,3. perhaps borrowed,0.5,,,1,positive,wold_positive,*s-(r)-muuc,ntsaum,pos_0013513
al+qādi,àlƙáalíi,Hausa,the judge,Law,Noun,11142.0,Hausa-21-18-1,12193.0,4.0,4.0,haus1257,Arabic,stan1318,21-18,861.0,JUDGE,1. clearly borrowed,1.0,,,1,positive,wold_positive,al+qādi,àlƙáalíi,pos_0010615
akʃa,akšə̑pńan,Indonesian,to drop,Motion,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akʃa,akšə̑pńan,cognate_external_0004963
ерак,măin,Romanian,the sock or stocking,Clothing and grooming,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ерак,măin,noncognate_external_0008984
дьо́la,mɨ́r,Hausa,poor,Possession,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,дьо́la,mɨ́r,noncognate_external_0003543
dastūrī,desturi,Swahili,the custom,Social and political relations,Noun,21363.0,Swahili-19-61-1,53212.0,1.0,1.0,swah1253,Hindi-Urdu,urdu1245,19-61,1747.0,CUSTOM,1. clearly borrowed,1.0,,,1,positive,wold_positive,dastūrī,desturi,pos_0020361
*ruuŋ + *riən,rooŋrian,Thai,the school,Cognition,Noun,20967.0,Thai-17-28-1,56467.0,23.0,23.0,thai1261,Proto-Mon-Khmer,,17-28,673.0,SCHOOL,5. no evidence for borrowing,0.0,,,1,positive,wold_positive,*ruuŋ + *riən,rooŋrian,pos_0019965
Olive,oliwa,Lower Sorbian,the olive,Food and drink,Noun,18119.0,LowerSorbian-5-78-1,28140.0,10.0,10.0,lowe1385,New High German,stan1295,5-78,1154.0,OLIVE,1. clearly borrowed,1.0,,,1,positive,wold_positive,Olive,oliwa,pos_0017219
juste,juist,Dutch,right(2),Emotions and values,Adjective,15972.0,Dutch-16-73-1,6628.0,12.0,12.0,dutc1256,French,stan1290,16-73,1725.0,CORRECT (RIGHT),1. clearly borrowed,1.0,,,1,positive,wold_positive,juste,juist,pos_0015180
Kanne,cană,Romanian,the cup,Food and drink,Noun,15287.0,Romanian-5-35-1,43379.0,8.0,8.0,roma1327,German,stan1295,5-35,476.0,CUP,1. clearly borrowed,1.0,,,1,positive,wold_positive,Kanne,cană,pos_0014626
ascha,куй,Japanese,the rice,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ascha,куй,noncognate_external_0009727
mírh,àwə̀,Bezhta,the song,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mírh,àwə̀,noncognate_external_0007396
zəräk,dschuragym,Selice Romani,proud,Emotions and values,Adjective,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,zəräk,dschuragym,cognate_external_0007831
xɛmu,amaskiː,Seychelles Creole,to steal,Law,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,xɛmu,amaskiː,noncognate_external_0009979
hà,akšə,Kildin Saami,the year,Time,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,hà,akšə,noncognate_external_0000861
"祖國, zǔ guó",tổ quốc,Vietnamese,the native country,Social and political relations,Noun,6742.0,Vietnamese-19-12-1,59607.0,24.0,24.0,viet1252,Chinese,mand1415,19-12,89.0,NATIVE COUNTRY,1. clearly borrowed,1.0,,,1,positive,wold_positive,"祖國, zǔ guó",tổ quốc,pos_0006430
tas,häčvä,Gurindji,to smell(2),Sense perception,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tas,häčvä,noncognate_external_0009813
йөрәк,pāda,Kanuri,rich,Possession,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,йөрәк,pāda,noncognate_external_0007279
sʉrəχ,xabü,Hausa,clever,Emotions and values,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,sʉrəχ,xabü,noncognate_external_0005651
altar,àlitara,Malagasy,the altar,Religion and belief,Noun,3196.0,Malagasy-22-14-1,30837.0,28.0,28.0,plat1254,English,stan1293,22-14,853.0,ALTAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,altar,àlitara,pos_0003109
lanza,lansam,Yaqui,the spear,Warfare and hunting,Noun,7190.0,Yaqui-20-26-1,64111.0,32.0,32.0,yaqu1251,Spanish,stan1288,20-26,945.0,SPEAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,lanza,lansam,pos_0006876
mū,ebure,Mapudungun,the partner,Social and political relations,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mū,ebure,noncognate_external_0003521
buz ~ būz,mbuzi,Swahili,the goat,Animals,Noun,8083.0,Swahili-3-36-1,51824.0,1.0,1.0,swah1253,Hindi-Urdu,urdu1245,3-36,1502.0,GOAT,4. very little evidence for borrowing,0.25,,,1,positive,wold_positive,buz ~ būz,mbuzi,pos_0007699
ɣalat',ɣalat',Tarifiyt Berber,wrong,Emotions and values,Adjective,5648.0,TarifiytBerber-16-74-1,2601.0,6.0,6.0,tari1263,Standard Arabic,stan1318,16-74,1390.0,WRONG,1. clearly borrowed,1.0,,,1,positive,wold_positive,ɣalat',ɣalat',pos_0005371
remo,lemɨ,Kali'na,the oar,Motion,Noun,2857.0,Kalina-10-85-1,22620.0,38.0,38.0,gali1262,Spanish,stan1288,10-85,3137.0,OAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,remo,lemɨ,pos_0002773
šəžra,ssəžžāŧ,Tarifiyt Berber,the tree,Agriculture and vegetation,Noun,5179.0,TarifiytBerber-8-6-1,2023.0,6.0,6.0,tari1263,Arabic (Moroccan),moro1292,8-6,906.0,TREE,1. clearly borrowed,1.0,,,1,positive,wold_positive,šəžra,ssəžžāŧ,pos_0004937
grandis,grandmother,English,the grandmother,Kinship,Noun,14690.0,English-2-47-1,7067.0,13.0,13.0,stan1293,Latin,,2-47,1496.0,GRANDMOTHER,1. clearly borrowed,1.0,,,1,positive,wold_positive,grandis,grandmother,pos_0014030
akšaza,ašu,Tarifiyt Berber,the meal,Food and drink,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšaza,ašu,cognate_external_0009064
tak,tágúwàa,Hausa,the shirt,Clothing and grooming,Noun,15107.0,Hausa-6-44-1,11248.0,4.0,4.0,haus1257,Tamasheq,,6-44,1622.0,SHIRT,2. probably borrowed,0.75,,,1,positive,wold_positive,tak,tágúwàa,pos_0014447
акшы͂лгы͂фты͂мс,akšə,Saramaccan,to teach,Cognition,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,акшы͂лгы͂фты͂мс,akšə,cognate_external_0004714
ошъ,ˈtu.u̯ɜd̥wu,Yaqui,the oil,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ошъ,ˈtu.u̯ɜd̥wu,noncognate_external_0006281
mɨ́r,ɟɵˈʟɔ,Gurindji,the coffee,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mɨ́r,ɟɵˈʟɔ,noncognate_external_0002418
maˁīša(t),maisha,Swahili,the life,The body,Noun,8471.0,Swahili-4-741-1,52064.0,1.0,1.0,swah1253,Arabic,stan1318,4-741,210.0,LIFE,1. clearly borrowed,1.0,,,1,positive,wold_positive,maˁīša(t),maisha,pos_0008086
sisik,sisik,Ceq Wong,the scale,Animals,Noun,8982.0,CeqWong-3-653-1,4535.0,26.0,26.0,chew1245,Malay,stan1306,3-653,266.0,SCALE,1. clearly borrowed,1.0,,,1,positive,wold_positive,sisik,sisik,pos_0008579
xabü,akšo·,Japanese,difficult,Cognition,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,xabü,akšo·,noncognate_external_0002011
evez,ėvėdzinen,Selice Romani,to row,Motion,Verb,712.0,SeliceRomani-10-852-1,48731.0,9.0,9.0,west2376,Hungarian,hung1274,10-852,1849.0,ROW,1. clearly borrowed,1.0,,,1,positive,wold_positive,evez,ėvėdzinen,pos_0000699
kopasz,kopasno,Selice Romani,bald,The body,Adjective,373.0,SeliceRomani-4-93-1,48237.0,9.0,9.0,west2376,Hungarian,hung1274,4-93,1125.0,BALD,1. clearly borrowed,1.0,,,1,positive,wold_positive,kopasz,kopasno,pos_0000365
ашо,akšə̑pńəms,Yaqui,four,Quantity,Function word,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ашо,akšə̑pńəms,cognate_external_0004262
"qissīs, qasīs",kasisi,Swahili,the priest,Religion and belief,Noun,8560.0,Swahili-22-18-2,53310.0,1.0,1.0,swah1253,Arabic,stan1318,22-18,852.0,PRIEST,1. clearly borrowed,1.0,,,1,positive,wold_positive,"qissīs, qasīs",kasisi,pos_0008173
ыраххы,tuɛ,Tarifiyt Berber,the pan,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ыраххы,tuɛ,noncognate_external_0007745
plato,plato,Zinacantán Tzotzil,the plate,Food and drink,Noun,6180.0,ZinacantanTzotzil-5-32-1,57361.0,33.0,33.0,tzot1259,Spanish,stan1288,5-32,480.0,PLATE,1. clearly borrowed,1.0,,,1,positive,wold_positive,plato,plato,pos_0005869
ngurrgayij,ngurrku pa-,Gurindji,to suspect,Cognition,Verb,20036.0,Gurindji-17-44-1,10516.0,31.0,31.0,guri1247,Jaminjung,djam1255,17-44,1841.0,SUSPECT,2. probably borrowed,0.75,,,1,positive,wold_positive,ngurrgayij,ngurrku pa-,pos_0019080
mölsü,ákúp,Ceq Wong,some,Quantity,Function word,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mölsü,ákúp,noncognate_external_0008696
osch-kol,akšə̑pńan,Kanuri,the newspaper,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,osch-kol,akšə̑pńan,cognate_external_0010364
cárcel,karsel,Mapudungun,the prison,Law,Noun,3505.0,Mapudungun-21-39-1,35554.0,41.0,41.0,mapu1245,Spanish,stan1288,21-39,1281.0,PRISON,1. clearly borrowed,1.0,,,1,positive,wold_positive,cárcel,karsel,pos_0003417
sol,uraχ,Romanian,obscure,Cognition,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,sol,uraχ,noncognate_external_0000543
чурегмъ,jørek,Indonesian,fragrant,Sense perception,Adjective,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,чурегмъ,jørek,cognate_external_0007456
-lɣa(n),burulɣan,Sakha,the whirlpool,The physical world,Noun,16990.0,Sakha-1-362-1,44935.0,19.0,19.0,yaku1245,Mongolic,,1-362,1982.0,WHIRLPOOL,5. no evidence for borrowing,0.0,,,1,positive,wold_positive,-lɣa(n),burulɣan,pos_0016188
ашо,о́ша,Gurindji,to vomit,The body,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ашо,о́ша,cognate_external_0004270
akšə̑·lgə̑ftə̑ms,akšə̑ldan,Romanian,the oath,Law,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšə̑·lgə̑ftə̑ms,akšə̑ldan,cognate_external_0004595
ioрекъ,чиря̀,Romanian,the fairy or elf,Religion and belief,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ioрекъ,чиря̀,cognate_external_0006050
aɣulǯa,xorɨ,Mapudungun,the he-goat,Animals,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,aɣulǯa,xorɨ,noncognate_external_0000439
ioрекъ,"зюрякъ,",Indonesian,the road,Motion,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ioрекъ,"зюрякъ,",cognate_external_0007189
radio,radyu,Imbabura Quechua,the radio,Modern world,Noun,16639.0,ImbaburaQuechua-23-1-1,16311.0,37.0,37.0,imba1240,Spanish,stan1288,23-1,1315.0,RADIO,1. clearly borrowed,1.0,,,1,positive,wold_positive,radio,radyu,pos_0015840
zəräk,жӱрöк,Selice Romani,the kangaroo,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,zəräk,жӱрöк,cognate_external_0008073
nəmpv,bōjn,Hup,to trade or barter,Possession,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,nəmpv,bōjn,cognate_external_0005469
йөрәк,sirds,Tarifiyt Berber,the helmet,Warfare and hunting,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,йөрәк,sirds,cognate_external_0001862
awa,awa,Takia,the hour,Time,Noun,1467.0,Takia-14-51-1,54395.0,29.0,29.0,taki1248,Tok Pisin,tokp1240,14-51,1353.0,HOUR,1. clearly borrowed,1.0,,,1,positive,wold_positive,awa,awa,pos_0001438
čiabu,agulān,Gurindji,the cloud,The physical world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,čiabu,agulān,noncognate_external_0007086
aksu,pie,Manange,the cigarette,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,aksu,pie,noncognate_external_0008382
admettre,admet,Seychelles Creole,to admit,Speech and language,Verb,21527.0,SeychellesCreole-18-33-1,51278.0,7.0,7.0,sese1246,French,stan1290,18-33,2022.0,ADMIT,4. very little evidence for borrowing,0.25,,,1,positive,wold_positive,admettre,admet,pos_0020525
